"Date","SellingPrice","VesselAge","Dwt","Freight"
"2012-09-01",21,24,42263,8760.44
"2012-09-01",6.7,22,42001,8760.44
"2012-09-01",8.6,17,45572,8760.44
"2012-09-01",9,16,51356,8760.44
"2012-10-01",7.2,19,47639,7845
"2012-10-01",7.8,18,45554,7845
"2012-10-01",7.8,18,45554,7845
"2012-10-01",10,15,48913,7845
"2012-10-01",12.7,13,51024,7845
"2012-10-01",14,12,52466,7845
"2012-10-01",74,3,57000,7845
"2012-11-01",3.4,29,42243,7282
"2012-11-01",5.9,23,52630,7282
"2012-11-01",7.7,19,45406,7282
"2012-11-01",9.8,17,45916,7282
"2012-11-01",13.3,12,46232,7282
"2012-11-01",14,12,50296,7282
"2012-11-01",14,11,50246,7282
"2012-11-01",21,4,58608,7282
"2012-12-01",15,3,53000,7760
"2012-12-01",6.6,20,45734,7760
"2012-12-01",3,28,40836,7760
"2012-12-01",20.9,2,58000,7760
"2013-01-01",3.2,29,41796,7650
"2013-01-01",3.5,29,48280,7650
"2013-01-01",6.7,19,46641,7650
"2013-01-01",8.3,17,42648,7650
"2013-01-01",14.1,12,50992,7650
"2013-01-01",13.8,12,52464,7650
"2013-01-01",15.5,9,56035,7650
"2013-01-01",16.5,8,55863,7650
"2013-01-01",16.5,8,55863,7650
"2013-01-01",18.5,7,55886,7650
"2013-01-01",13.3,4,53840,7650
"2013-01-01",14.3,3,53840,7650
"2013-01-01",17,3,56854,7650
"2013-01-01",17,3,56854,7650
"2013-02-01",3.5,29,42100,7650
"2013-02-01",3.8,28,41540,7650
"2013-02-01",7,19,43176,7650
"2013-02-01",8.5,17,45363,7650
"2013-02-01",7.8,16,45800,7650
"2013-02-01",20,16,46000,7650
"2013-02-01",15.7,9,53459,7650
"2013-02-01",18.7,4,58608,7650
"2013-03-01",3,28,40864,9398
"2013-03-01",3.5,24,42004,9398
"2013-03-01",6.8,19,43230,9398
"2013-03-01",11.9,13,48893,9398
"2013-03-01",13,13,50300,9398
"2013-03-01",16.2,9,55697,9398
"2013-03-01",16.8,8,53525,9398
"2013-03-01",16.5,8,55781,9398
"2013-03-01",17,8,56024,9398
"2013-03-01",16,1,53000,9398
"2013-04-01",8.3,27,47240,9450
"2013-04-01",6.5,20,45216,9450
"2013-04-01",8.2,17,48225,9450
"2013-04-01",9.8,15,48913,9450
"2013-04-01",11.3,13,48500,9450
"2013-04-01",15.3,11,53609,9450
"2013-04-01",20.5,6,56678,9450
"2013-04-01",25,2,63500,9450
"2013-04-01",26,1,55700,9450
"2013-04-01",26.5,1,55700,9450
"2013-04-01",25.1,1,63500,9450
"2013-05-01",7.8,18,43873,9036
"2013-05-01",8.3,17,43929,9036
"2013-05-01",7,17,45342,9036
"2013-05-01",14,12,50200,9036
"2013-05-01",14,12,50209,9036
"2013-05-01",20.1,7,55469,9036
"2013-06-01",12.3,13,48913,9580
"2013-06-01",17,9,54881,9580
"2013-06-01",18.7,9,56032,9580
"2013-06-01",24,1,64000,9580
"2013-07-01",3.5,28,42609,9480
"2013-07-01",3.5,28,42609,9480
"2013-07-01",4.3,24,42025,9480
"2013-07-01",6.8,19,44821,9480
"2013-07-01",13,13,52404,9480
"2013-07-01",15.5,10,52248,9480
"2013-07-01",17.8,9,52409,9480
"2013-07-01",19.4,8,56056,9480
"2013-08-01",3.5,28,42609,9622
"2013-08-01",3.5,28,42609,9622
"2013-08-01",4,25,43665,9622
"2013-08-01",4,25,43665,9622
"2013-08-01",6.2,20,43596,9622
"2013-08-01",15.1,11,50326,9622
"2013-08-01",16.5,10,52388,9622
"2013-08-01",19,8,56000,9622
"2013-08-01",18,7,53556,9622
"2013-08-01",26.5,1,63301,9622
"2013-09-01",3.8,27,42183,10277.5
"2013-09-01",8.5,17,46645,10277.5
"2013-09-01",16,11,52384,10277.5
"2013-09-01",15.8,10,46673,10277.5
"2013-09-01",20.5,7,55000,10277.5
"2013-09-01",29.5,2,61453,10277.5
"2013-09-01",23.5,1,57000,10277.5
"2013-10-01",5,20,40926,12457.5
"2013-10-01",6.2,20,44875,12457.5
"2013-10-01",15.5,17,44314,12457.5
"2013-10-01",8.6,17,48224,12457.5
"2013-10-01",18,9,53466,12457.5
"2013-10-01",12.5,9,53604,12457.5
"2013-10-01",25,7,53503,12457.5
"2013-10-01",41,2,57000,12457.5
"2013-10-01",26.5,1,63500,12457.5
"2013-10-01",26.5,0,63400,12457.5
"2013-10-01",28,0,63400,12457.5
"2013-10-01",27,0,63500,12457.5
"2013-11-01",3,29,43648,14242
"2013-11-01",5,23,43469,14242
"2013-11-01",6,18,41515,14242
"2013-11-01",9.5,17,46609,14242
"2013-11-01",11.9,15,46667,14242
"2013-11-01",14.3,13,52478,14242
"2013-11-01",19.5,9,56094,14242
"2013-11-01",20,9,56094,14242
"2013-11-01",28.5,3,56147,14242
"2013-11-01",60.5,2,61462,14242
"2013-11-01",21.4,1,57000,14242
"2013-11-01",27.5,1,64000,14242
"2013-12-01",4,29,40048,15990
"2013-12-01",11,16,42717,15990
"2013-12-01",13,16,46786,15990
"2013-12-01",15.4,13,50326,15990
"2013-12-01",21.7,8,55705,15990
"2013-12-01",18.5,3,55000,15990
"2013-12-01",29.5,3,57991,15990
"2013-12-01",29.5,3,57991,15990
"2013-12-01",28,1,64000,15990
"2014-01-01",7.3,20,43246,12006
"2014-01-01",8.5,19,45712,12006
"2014-01-01",6.8,18,41455,12006
"2014-01-01",18,18,43229,12006
"2014-01-01",10.5,17,42717,12006
"2014-01-01",12.8,15,48913,12006
"2014-01-01",16,12,45635,12006
"2014-01-01",21,8,53487,12006
"2014-01-01",22.5,8,56013,12006
"2014-01-01",22.8,8,56023,12006
"2014-01-01",21,4,57000,12006
"2014-01-01",30.5,0,64000,12006
"2014-02-01",4.7,23,42284,10792.5
"2014-02-01",12.7,16,46750,10792.5
"2014-02-01",14.7,13,50913,10792.5
"2014-02-01",22,5,50770,10792.5
"2014-02-01",22,4,50779,10792.5
"2014-02-01",22,4,50792,10792.5
"2014-02-01",22.4,4,57005,10792.5
"2014-02-01",25,2,54430,10792.5
"2014-02-01",31,-1,55000,10792.5
"2014-02-01",31,-1,55000,10792.5
"2014-03-01",11.8,15,46685,12125
"2014-03-01",11.8,15,46685,12125
"2014-03-01",14,15,48913,12125
"2014-03-01",17.7,12,50399,12125
"2014-03-01",12.3,12,51215,12125
"2014-03-01",21.6,10,56024,12125
